"cpv_puhas";"eeldatav_maksumus_puhas";"lepingu_maksumus_puhas";"tegelik_maksumus_puhas";"kestvus_kuudes"
NA;NA;NA;NA;NA
"79311200-9";NA;NA;NA;2
"72250000-2";2e+05;86871.75;NA;36
"34110000-1";NA;34594.26;NA;33
NA;NA;NA;NA;NA
"79300000-7";NA;18050;18050;7
"60172000-4";NA;16667;NA;24
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
"34110000-1";NA;155985;155985;4
NA;NA;NA;NA;NA
"71620000-0";12500;12500;12500;5
"98300000-6";NA;NA;NA;2
NA;NA;NA;NA;NA
"34110000-1";NA;153474;NA;60
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
"41110000-3";NA;9180;NA;36
NA;NA;NA;NA;NA
"33651400-2";NA;3028242.2;NA;18
"90910000-9";NA;28680;NA;24
"34144210-3";16200000;15804465;NA;104
"32581000-9";36666.67;26003.2;NA;36
"72800000-8";NA;9600;9600;4
NA;NA;NA;NA;NA
"45111000-8";NA;885364.85;804877.13;6
"34110000-1";NA;42332.16;NA;48
"79111000-5";74185;74185;NA;18
"79315000-5";NA;31200;31200;3
"72262000-9";110000;193200;NA;48
"34111200-0";NA;14810.4;NA;48
"71420000-8";NA;254196;NA;5
"48821000-9";160000;138000;138000;1
"72261000-2";NA;NA;NA;12
"15800000-6";686000;686000;NA;36
"45231400-9";1e+06;1387991.6;632799.82;18
"79315000-5";NA;NA;NA;10
"34110000-1";NA;NA;NA;33
NA;NA;NA;NA;NA
"15500000-3";1162000;1162000;NA;36
"34111200-0";NA;30317.36;NA;60
"79341000-6";NA;34465.33;34727.83;4
"79311210-2";39500;36805;36805;3
NA;NA;NA;NA;NA
"80520000-5";NA;75000;75000;5
"79341000-6";16666.67;16665.7;16643.6;2
"98300000-6";NA;NA;NA;2
"73110000-6";NA;25895;25895;6
"92600000-7";NA;51666.67;62000;8
"45443000-4";NA;12918.53;16098.53;2
"72262000-9";39900;39900;NA;24
NA;NA;NA;NA;NA
"43325000-7";11500;9198.3;9198.3;1
"32420000-3";NA;28389.06;28389.06;2
NA;NA;NA;NA;NA
"45220000-5";NA;NA;NA;13
"72262000-9";39999;39680;30880;8
"34136200-1";NA;316568.22;NA;60
"72261000-2";NA;18752.25;18752.25;12
"39112000-0";NA;NA;NA;20
"60100000-9";38000;38000;NA;24
"45216200-6";NA;15640000;NA;18
"50730000-1";NA;6480;NA;36
"73100000-3";NA;41500;34652.5;8
"80430000-7";NA;119527;119527;8
NA;NA;NA;NA;NA
"79212000-3";NA;9500;9500;3
"75211110-2";NA;85000;NA;36
"72262000-9";960000;960000;NA;48
"34960000-4";NA;55745;55745;5
"34711400-8";NA;NA;NA;28
"60170000-0";38000;39000;NA;24
"72250000-2";NA;NA;NA;36
"42968100-0";25000;16024.4;NA;28
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
"75110000-0";NA;111000;111000;10
"33651600-4";NA;2189000;NA;38
NA;NA;NA;NA;NA
"30200000-1";NA;154296;154296;3
"45453100-8";10000;9850;29372;8
"32420000-3";NA;39992;39992;1
"65320000-2";NA;13644;NA;36
"50334140-8";NA;29700;NA;24
"73300000-5";NA;39966;39966;10
NA;NA;NA;NA;NA
"79952000-2";20000;24916;24916;2
"71240000-2";NA;179653;179653;6
"79341000-6";42000;41970.96;41970.96;2
"79311200-9";NA;16860;16860;5
"71240000-2";50000;56265;NA;4
"75112100-5";NA;209668.33;251362.86;9
"72262000-9";4e+05;234000;NA;48
"71240000-2";120000;130020;NA;6
"79952000-2";NA;33000;33000;3
NA;NA;NA;NA;NA
"79315000-5";NA;27900;27900;4
"79952000-2";NA;33125;33125;3
"79320000-3";NA;6700;6700;2
"79419000-4";NA;26800;26800;7
"71322000-1";NA;20700;18950;6
"45453100-8";NA;35439;35439;1
"79315000-5";NA;NA;NA;4
"63511000-4";4e+06;NA;NA;48
"45231400-9";54000;44805.56;44805.56;11
"39220000-0";NA;24000;NA;48
"71520000-9";NA;5300;NA;32
"45231400-9";112000;111927.71;111927.71;18
"98392000-7";40000;44000;36411.26;12
"85100000-0";NA;8018.56;8018.56;10
NA;NA;NA;NA;NA
"34960000-4";NA;NA;NA;6
"34513600-2";NA;NA;NA;36
"90700000-4";NA;27720;27720;7
"73210000-7";NA;48000;48000;9
"72262000-9";636000;672750;NA;36
"34136100-0";NA;NA;NA;6
"73210000-7";29160;23400;23400;4
"39200000-4";NA;84335.67;84335.67;3
"72250000-2";NA;23040;NA;24
"73210000-7";NA;17825;17825;6
"73210000-7";70450;NA;NA;21
"90700000-4";NA;39193;39193;7
NA;NA;NA;NA;NA
"30190000-7";39000;39000;NA;24
"30197600-2";160000;160000;NA;30
"73100000-3";33000;32754;32754;8
NA;NA;NA;NA;NA
"79311200-9";23200;23000;23000;8
"34131000-4";NA;155900.94;155900.94;6
"34113000-2";NA;23648.67;23648.67;6
"73100000-3";NA;80855;80855;8
"79315000-5";150000;145885;NA;36
"73210000-7";NA;25750;25750;8
"15800000-6";232000;232000;NA;24
"79300000-7";NA;13200;13200;6
"22900000-9";15200;15200;NA;48
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
"72200000-7";NA;NA;NA;24
"79341400-0";66667;66055.35;66055.35;8
"45222000-9";NA;1232000;1209395.04;8
"92111260-2";15000;4200;4200;3
"73300000-5";NA;80000;80000;4
"73300000-5";NA;83310;83310;4
"72261000-2";144000;141281.72;NA;36
"73300000-5";NA;114190;114190;4
"73300000-5";NA;83300;83300;4
"39200000-4";NA;49165.38;49165.38;3
"79952000-2";20000;NA;NA;3
"80430000-7";NA;NA;NA;60
"80300000-7";NA;1060000;NA;48
"63516000-9";4200000;NA;NA;36
NA;NA;NA;NA;NA
"48190000-6";NA;45729;45729;2
"48190000-6";NA;35623;35623;2
"60400000-2";NA;708232;708232;3
"72320000-4";NA;17424;NA;24
"98392000-7";1e+06;1e+06;NA;36
"71520000-9";NA;4700;NA;30
"79110000-8";NA;1155000;NA;24
"72244000-7";NA;15900;15900;2
"34969200-9";NA;105780;105780;5
"72262000-9";NA;87666.67;87666.67;5
